latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
36.17743,-5.42661,303.64,0.56,0.51,2026-09-18,141,N20,VIIRS,n,2.0NRT,289.84,1.04,N
36.96868,-1.90311,308.02,0.56,0.43,2026-09-18,141,N20,VIIRS,n,2.0NRT,290.54,2.04,N
40.24683,-3.47469,324.77,0.49,0.48,2026-09-18,141,N20,VIIRS,n,2.0NRT,288.21,3.35,N
41.4764,-1.48991,299.59,0.4,0.44,2026-09-18,141,N20,VIIRS,n,2.0NRT,284.9,1.27,N
41.58224,-8.2034,303.96,0.44,0.63,2026-09-18,141,N20,VIIRS,n,2.0NRT,281,1.53,N
41.98197,-5.67381,308.54,0.33,0.55,2026-09-18,141,N20,VIIRS,n,2.0NRT,275.07,1.04,N
42.55425,-6.7726,295.06,0.38,0.59,2026-09-18,141,N20,VIIRS,n,2.0NRT,281.15,1.02,N
43.435,4.8951,306.56,0.39,0.36,2026-09-18,141,N20,VIIRS,n,2.0NRT,288.17,1.34,N
43.43571,4.89034,310.32,0.39,0.36,2026-09-18,141,N20,VIIRS,n,2.0NRT,288.83,1.09,N
43.43712,4.8808,302.3,0.39,0.36,2026-09-18,141,N20,VIIRS,n,2.0NRT,288.73,0.67,N
43.43794,4.8934,304.07,0.39,0.36,2026-09-18,141,N20,VIIRS,n,2.0NRT,287.88,0.76,N
43.43865,4.88862,302.42,0.39,0.36,2026-09-18,141,N20,VIIRS,n,2.0NRT,286.95,0.62,N
43.44194,4.88954,297.9,0.39,0.36,2026-09-18,141,N20,VIIRS,n,2.0NRT,286.99,0.62,N
43.44384,4.9,304.62,0.39,0.36,2026-09-18,141,N20,VIIRS,n,2.0NRT,288.52,1.73,N
43.44454,4.89523,327.96,0.39,0.36,2026-09-18,141,N20,VIIRS,n,2.0NRT,288.45,1.73,N
43.44524,4.89046,300.49,0.39,0.36,2026-09-18,141,N20,VIIRS,n,2.0NRT,286.26,0.53,N
43.44784,4.89615,324.99,0.39,0.36,2026-09-18,141,N20,VIIRS,n,2.0NRT,289.58,1.73,N
43.99684,4.84371,308.08,0.39,0.36,2026-09-18,141,N20,VIIRS,n,2.0NRT,289.39,1.33,N
37.57024,-0.91503,305.39,0.51,0.41,2026-09-18,143,N20,VIIRS,n,2.0NRT,289.2,1.7,N
38.37708,-0.54591,301.08,0.5,0.41,2026-09-18,143,N20,VIIRS,n,2.0NRT,288.65,0.68,N
38.82766,-6.56515,297.38,0.34,0.56,2026-09-18,143,N20,VIIRS,n,2.0NRT,286.54,0.71,N
38.82792,-6.56918,304.24,0.34,0.56,2026-09-18,143,N20,VIIRS,n,2.0NRT,286.55,0.71,N
38.8282,-6.56181,298.04,0.34,0.56,2026-09-18,143,N20,VIIRS,n,2.0NRT,287.34,0.6,N
38.82843,-6.56583,298.59,0.34,0.56,2026-09-18,143,N20,VIIRS,n,2.0NRT,286.53,0.63,N
38.82867,-6.56985,305.66,0.34,0.56,2026-09-18,143,N20,VIIRS,n,2.0NRT,286.56,0.63,N
38.92409,-9.0145,295.48,0.47,0.64,2026-09-18,143,N20,VIIRS,n,2.0NRT,280.25,0.6,N
36.73542,-5.9138,302.92,0.61,0.71,2026-09-18,321,N20,VIIRS,n,2.0NRT,286.51,0.96,N
38.82854,-6.56749,297.13,0.49,0.65,2026-09-18,321,N20,VIIRS,n,2.0NRT,282.57,0.78,N
38.88128,-5.73654,302.18,0.54,0.68,2026-09-18,321,N20,VIIRS,n,2.0NRT,285.99,1.14,N
38.88238,-5.74055,296.51,0.54,0.68,2026-09-18,321,N20,VIIRS,n,2.0NRT,285.67,0.79,N
38.93736,-5.81293,298.07,0.53,0.67,2026-09-18,321,N20,VIIRS,n,2.0NRT,283.17,0.54,N
39.68466,-8.90659,296.15,0.35,0.57,2026-09-18,321,N20,VIIRS,n,2.0NRT,283.08,0.73,N
39.68869,-8.9056,298.93,0.35,0.57,2026-09-18,321,N20,VIIRS,n,2.0NRT,282.26,0.82,N
40.24696,-3.47197,305.13,0.63,0.72,2026-09-18,321,N20,VIIRS,n,2.0NRT,284.45,2.58,N
40.24817,-3.47803,303.9,0.63,0.72,2026-09-18,321,N20,VIIRS,n,2.0NRT,283.42,1.58,N
41.18358,1.22196,302.62,0.66,0.73,2026-09-18,43,N21,VIIRS,n,2.0NRT,283.86,2.27,N
43.21785,2.4298,295.63,0.58,0.7,2026-09-18,43,N21,VIIRS,n,2.0NRT,285.22,0.99,N
43.21864,2.42935,299.31,0.58,0.7,2026-09-18,43,N21,VIIRS,n,2.0NRT,285.31,0.96,N
43.43534,4.89391,301.8,0.44,0.62,2026-09-18,43,N21,VIIRS,n,2.0NRT,281.65,2.15,N
43.44128,4.88878,298.81,0.44,0.62,2026-09-18,43,N21,VIIRS,n,2.0NRT,281.76,1.07,N
43.44663,4.89999,297.88,0.44,0.62,2026-09-18,43,N21,VIIRS,n,2.0NRT,283.35,1.31,N
43.44683,4.89457,297.54,0.44,0.62,2026-09-18,43,N21,VIIRS,n,2.0NRT,283.83,1.07,N
43.44786,4.89632,301.91,0.44,0.62,2026-09-18,43,N21,VIIRS,n,2.0NRT,284.07,1.98,N
43.99526,4.84694,302.64,0.44,0.62,2026-09-18,43,N21,VIIRS,n,2.0NRT,287.28,0.68,N
